Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/21  01:00:00,140257205.084578,140257205.084578,4713590.80705582,0.0,0.0 
 01/21  02:00:00,140267985.513084,140267985.513084,4713759.61316406,0.0,0.0 
 01/21  03:00:00,143578102.176742,143578102.176742,4655535.02437425,0.0,0.0 
 01/21  04:00:00,142007688.166831,142007688.166831,4713965.89939556,0.0,0.0 
 01/21  05:00:00,143371764.115546,143371764.115546,4714078.71003958,0.0,0.0 
 01/21  06:00:00,143521134.265453,143521134.265453,4655675.54177346,0.0,0.0 
 01/21  07:00:00,205867926.87067,205867926.87067,4597200.,0.0,0.0 
 01/21  08:00:00,183395042.207196,183395042.207196,4597200.,0.0,0.0 
 01/21  09:00:00,177146203.319139,177146203.319139,4597200.,0.0,0.0 
 01/21  10:00:00,176988810.170957,176988810.170957,4597200.,0.0,0.0 
 01/21  11:00:00,177271174.144356,177271174.144356,4597200.,0.0,0.0 
 01/21  12:00:00,177167328.495061,177167328.495061,4597200.,0.0,0.0 
 01/21  13:00:00,177479289.524971,177479289.524971,4597200.,0.0,0.0 
 01/21  14:00:00,177664964.169963,177664964.169963,8720772.40679602,0.0,0.0 
 01/21  15:00:00,177999844.533486,177999844.533486,4597200.,0.0,0.0 
 01/21  16:00:00,178188075.874177,178188075.874177,8654127.77514216,0.0,0.0 
 01/21  17:00:00,178208033.282747,178208033.282747,4597200.,0.0,0.0 
 01/21  18:00:00,183067934.837003,183067934.837003,4597200.,0.0,0.0 
 01/21  19:00:00,149577776.720393,149577776.720393,4708085.66961994,0.0,0.0 
 01/21  20:00:00,150215377.580954,150215377.580954,4712577.04161218,0.0,0.0 
 01/21  21:00:00,153702278.260821,153702278.260821,4655034.87812277,0.0,0.0 
 01/21  22:00:00,152224059.415126,152224059.415126,4713078.88038782,0.0,0.0 
 01/21  23:00:00,153642904.535539,153642904.53554,4713314.64072326,0.0,0.0 
 01/21  24:00:00,153856294.572325,153856294.572325,4655334.80518736,0.0,0.0 
